,#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Cases/1M pop,Death1m,TotalTest,Test1MPeople,population,region,1CaseEveryXPPL,1DeathEveryXPPL,1TestEveryXPPL,temp,X,Y
1,,"
North America
","63,029,155","+10,415","1,235,079",+91,"49,696,842","+1,785","12,097,234","21,766",,,,,,North America,"
",,,,,
2,,"
Asia
","84,142,306","+59,222","1,248,809",+698,"81,469,165","+70,637","1,424,332","29,429",,,,,,Asia,"
",,,,,
3,,"
South America
","39,456,644","+1,170","1,190,542",+21,"37,402,821","+2,645","863,281","12,641",,,,,,South America,"
",,,,,
4,,"
Europe
","83,415,659","+148,636","1,509,232","+1,718","72,791,362","+173,314","9,115,065","22,582",,,,,,Europe,"
",,,,,
5,,"
Africa
","9,559,857","+15,189","227,749",+80,"8,554,843","+14,634","777,265","1,742",,,,,,Africa,"
",,,,,
6,,"
Oceania
","463,515","+8,814","4,450",+3,"374,304",+239,"84,761",176,,,,,,Australia/Oceania,"
",,,,,
7,,"

",721,,15,,706,,0,0,,,,,,,"
495,5,UK,"11,891,292","+122,186","147,857 ",+137,"9,961,369",,"1,782,066",842,"173,814","2,161","395,579,689","5,782,142","68,414,037 ",Europe,6,463,0,"1,786",2,"26,048"
496,6,Russia,"10,343,353","+24,703","302,269 ",+998,"9,180,379","+41,213","860,705","2,300","70,832","2,070","237,300,000","1,625,040","146,027,142 ",Europe,14,483,1,169,7,"5,894"
497,7,Turkey,"9,266,516","+18,910","81,258 ",+133,"8,900,401","+20,351","284,857","1,128","108,150",948,"116,144,239","1,355,522","85,682,302 ",Asia,9,"1,054",1,221,2,"3,325"
498,8,France,"8,983,760","+94,124","122,462 ",+167,"7,752,717","+51,445","1,108,581","3,254","137,183","1,870","182,873,794","2,792,503","65,487,413 ",Europe,7,535,0,"1,437",3,"16,928"
499,9,Germany,"6,982,228","+27,679","110,908 ",+272,"6,048,800","+56,000","822,520","4,636","82,943","1,317","89,622,218","1,064,641","84,180,671 ",Europe,12,759,1,329,3,"9,771"
500,10,Iran,"6,181,784","+1,967","131,306 ",+44,"6,022,150","+2,807","28,328","2,796","72,231","1,534","41,286,279","482,407","85,583,878 ",Asia,14,652,2,23,0.5,331
501,11,Spain,"5,718,007",,"89,019 ",,"5,002,310",,"626,678","1,515","122,228","1,903","66,213,858","1,415,383","46,781,600 ",Europe,8,526,1,,,"13,396"
502,12,Italy,"5,567,669","+50,624","136,386 ",+141,"4,970,584","+19,804","460,699","1,038","92,287","2,261","134,168,351","2,223,903","60,330,139 ",Europe,11,442,0,839,2,"7,636"
503,13,Argentina,"5,445,236","+16,279","117,008 ",+29,"5,253,705","+5,023","74,523",830,"118,866","2,554","27,397,741","598,077","45,809,690 ",South America,8,392,2,355,0.6,"1,627"
504,14,Colombia,"5,118,254","+3,060","129,686 ",+46,"4,955,539","+1,897","33,029",342,"99,027","2,509","29,228,550","565,506","51,685,618 ",South America,10,399,2,59,0.9,639
505,15,Indonesia,"4,261,412",+204,"144,047 ",+5,"4,112,706",+182,"4,659",,"15,340",519,"61,632,313","221,855","277,804,630 ",Asia,65,"1,929",5,0.7,0.02,17
506,16,Poland,"4,032,797","+15,393","94,042 ",+597,"3,522,816","+22,246","415,939","2,061","106,729","2,489","26,681,046","706,124","37,785,215 ",Europe,9,402,1,407,16,"11,008"
507,17,Mexico,"3,943,764","+3,363","298,508 ",+149,"3,295,433","+1,522","349,823","4,798","30,119","2,280","12,237,083","93,457","130,937,770 ",North America,33,439,11,26,1,"2,672"
508,18,Ukraine,"3,637,038","+6,647","94,432 ",+248,"3,408,294","+14,874","134,312",177,"83,910","2,179","16,626,864","383,598","43,344,526 ",Europe,12,459,3,153,6,"3,099"
509,19,South Africa,"3,393,109","+18,847","90,743 ",+81,"3,094,902",,"207,464",546,"56,163","1,502","20,985,692","347,357","60,415,283 ",Africa,18,666,3,312,1,"3,434"
510,20,Netherlands,"3,040,560","+12,423","20,661 ",+40,"2,491,332","+23,669","528,567",548,"176,869","1,202","19,205,114","1,117,160","17,191,020 ",Europe,6,832,1,723,2,"30,747"
511,21,Philippines,"2,837,948",+226,"51,050 ",+69,"2,777,449",+15,"9,449",899,"25,398",457,"24,937,631","223,177","111,739,317 ",Asia,39,"2,189",4,2,0.6,85
512,22,Malaysia,"2,735,241","+3,528","31,290 ",+25,"2,657,074","+4,489","46,877",339,"82,937",949,"40,352,701","1,223,563","32,979,665 ",Asia,12,"1,054",1,107,0.8,"1,421"
513,23,Czechia,"2,442,609","+7,356","35,676 ",+48,"2,259,256",+613,"147,677",767,"227,465","3,322","46,569,944","4,336,766","10,738,404 ",Europe,4,301,0,685,4,"13,752"
514,24,Peru,"2,272,885","+1,336","202,454 ",+30,N/A,N/A,N/A,884,"67,542","6,016","21,352,702","634,525","33,651,475 ",South America,15,166,2,40,0.9,"10,394"
515,25,Thailand,"2,204,672","+2,671","21,528 ",+27,"2,144,952","+2,766","38,192",899,"31,469",307,"17,270,775","246,516","70,059,358 ",Asia,32,"3,254",4,38,0.4,545
516,26,Iraq,"2,092,156",+322,"24,115 ",+7,"2,062,247",+466,"5,794",84,"50,344",580,"16,745,526","402,954","41,556,890 ",Asia,20,"1,723",2,8,0.2,139
517,27,Belgium,"2,030,878","+4,421","28,110 ",+30,"1,595,493","+8,548","407,275",692,"174,110","2,410","26,752,030","2,293,494","11,664,312 ",Europe,6,415,0,379,3,"34,916"
518,28,Canada,"1,957,060","+11,306","30,139 ",+8,"1,816,952","+2,526","109,969",455,"51,189",788,"51,486,352","1,346,681","38,232,022 ",North America,20,"1,269",1,296,0.2,"2,876"
519,29,Romania,"1,801,798",+717,"58,509 ",+42,"1,730,994","+1,280","12,295",468,"94,595","3,072","16,871,483","885,755","19,047,572 ",Europe,11,326,1,38,2,645
520,30,Chile,"1,797,631","+1,399","38,984 ",+30,"1,710,145","+1,980","48,502",555,"92,857","2,014","27,018,744","1,395,660","19,359,116 ",South America,11,497,1,72,2,"2,505"
521,31,Japan,"1,730,905",+303,"18,386 ",+3,"1,710,822",+145,"1,697",34,"13,748",146,"29,038,151","230,639","125,902,937 ",Asia,73,"6,848",4,2,0.02,13
522,32,Vietnam,"1,620,869","+16,157","30,766 ",+235,"1,215,261","+30,833","374,842","7,767","16,433",312,"73,609,689","746,283","98,635,054 ",Asia,61,"3,206",1,164,2,"3,800"
523,33,Bangladesh,"1,582,710",+342,"28,055 ",+1,"1,546,956",+292,"7,699","1,352","9,471",168,"11,362,254","67,989","167,118,031 ",Asia,106,"5,957",15,2,0.01,46
524,34,Israel,"1,362,270","+1,005","8,241 ",,"1,342,941",+333,"11,088",88,"146,072",884,"37,547,800","4,026,142","9,326,000 ",Asia,7,"1,132",0,108,,"1,189"
525,35,Pakistan,"1,292,728",+322,"28,898 ",+4,"1,254,301",+197,"9,529",652,"5,689",127,"23,048,609","101,431","227,235,429 ",Asia,176,"7,863",10,1,0.02,42
526,36,Serbia,"1,288,395","+1,193","12,544 ",+26,"1,252,710","+1,535","23,141",100,"148,343","1,444","7,136,798","821,716","8,685,237 ",Europe,7,692,1,137,3,"2,664"
527,37,Sweden,"1,273,313",,"15,229 ",,"1,179,355",,"78,729",92,"124,926","1,494","14,208,757","1,394,040","10,192,504 ",Europe,8,669,1,,,"7,724"
528,38,Portugal,"1,266,037","+12,943","18,851 ",+11,"1,155,239","+5,628","91,947",149,"124,700","1,857","24,854,086","2,448,035","10,152,669 ",Europe,8,539,0,"1,275",1,"9,056"
529,39,Austria,"1,260,751","+2,374","13,617 ",+22,"1,214,967","+3,655","32,167",418,"138,811","1,499","119,534,266","13,160,962","9,082,487 ",Europe,7,667,0,261,2,"3,542"
530,40,Hungary,"1,237,330",,"38,307 ",,"1,071,772",,"127,251",454,"128,567","3,980","9,058,668","941,257","9,624,016 ",Europe,8,251,1,,,"13,222"
531,41,Switzerland,"1,221,424",,"12,128 ",,"951,091",,"258,205",302,"139,618","1,386","13,812,799","1,578,908","8,748,325 ",Europe,7,721,1,,,"29,515"
532,42,Greece,"1,064,243","+7,660","20,292 ",+94,"982,679","+3,153","61,272",624,"102,849","1,961","44,727,502","4,322,486","10,347,634 ",Europe,10,510,0,740,9,"5,921"
533,43,Jordan,"1,050,257","+2,304","12,403 ",+31,"991,025","+4,905","46,829","1,100","101,444","1,198","13,282,954","1,282,997","10,353,065 ",Asia,10,835,1,223,3,"4,523"
534,44,Kazakhstan,"985,016",+460,"12,960 ",+3,"956,046",+686,"16,010",528,"51,547",678,"11,575,012","605,733","19,109,097 ",Asia,19,"1,474",2,24,0.2,838
535,45,Cuba,"964,482",+76,"8,317 ",,"955,741",+62,424,14,"85,229",735,"11,536,661","1,019,466","11,316,376 ",North America,12,"1,361",1,7,,37
536,46,Morocco,"954,853",+654,"14,825 ",+2,"937,370",+237,"2,658",103,"25,423",395,"10,729,888","285,688","37,558,035 ",Africa,39,"2,533",4,17,0.05,71
537,47,Georgia,"920,617","+1,976","13,367 ",+78,"876,254","+3,076","30,996",,"231,437","3,360","12,643,619","3,178,526","3,977,825 ",Asia,4,298,0,497,20,"7,792"
538,48,Nepal,"826,901",+237,"11,582 ",+1,"810,271",+349,"5,048",114,"27,645",387,"4,809,067","160,774","29,911,932 ",Asia,36,"2,583",6,8,0.03,169
539,49,Slovakia,"824,172","+4,679","16,290 ",+51,"747,873","+6,579","60,009",482,"150,849","2,982","5,030,666","920,767","5,463,559 ",Europe,7,335,1,856,9,"10,983"
540,50,UAE,"747,909","+1,352","2,155 ",+1,"740,122",+506,"5,632",,"74,291",214,"108,611,896","10,788,635","10,067,251 ",Asia,13,"4,672",0,134,0.10,559
541,51,Bulgaria,"733,139","+1,033","30,476 ",+40,"605,346",+295,"97,317",467,"106,701","4,435","7,276,831","1,059,072","6,870,953 ",Europe,9,225,1,150,6,"14,164"
542,52,Tunisia,"722,443",+320,"25,516 ",+7,"694,914",+234,"2,013",82,"60,195","2,126","3,310,213","275,813","12,001,662 ",Africa,17,470,4,27,0.6,168
543,53,Lebanon,"709,242","+2,119","9,012 ",+16,"652,174",,"48,056",186,"104,605","1,329","4,795,578","707,295","6,780,167 ",Asia,10,752,1,313,2,"7,088"
544,54,Ireland,"691,557","+11,182","5,890 ",,"536,256","+3,891","149,411",89,"137,776","1,173","9,736,837","1,939,833","5,019,421 ",Europe,7,852,1,"2,228",,"29,767"
545,55,Belarus,"691,072","+1,921","5,466 ",+17,"683,403","+2,153","2,203",,"73,170",579,"10,919,017","1,156,098","9,444,719 ",Europe,14,"1,728",1,203,2,233
546,56,Croatia,"689,831","+3,241","12,232 ",+53,"655,755","+3,760","21,844",266,"169,585","3,007","3,690,329","907,214","4,067,762 ",Europe,6,333,1,797,13,"5,370"
547,57,Denmark,"675,844","+10,702","3,187 ",+14,"539,621","+6,584","133,036",74,"116,076",547,"104,306,215","17,914,621","5,822,407 ",Europe,9,"1,827",0,"1,838",2,"22,849"
548,58,Guatemala,"625,029",+163,"16,095 ",+6,"607,769",+96,"1,165",5,"33,958",874,"3,246,429","176,381","18,405,723 ",North America,29,"1,144",6,9,0.3,63
549,59,Azerbaijan,"613,618",+559,"8,269 ",+12,"592,828","+1,104","12,521",,"59,723",805,"5,798,493","564,360","10,274,461 ",Asia,17,"1,243",2,54,1,"1,219"
550,60,S. Korea,"596,209","+6,231","5,071 ",+56,"485,721","+16,666","105,417","1,084","11,614",99,"15,804,065","307,864","51,334,533 ",Asia,86,"10,123",3,121,1,"2,054"
551,61,Sri Lanka,"582,722",+573,"14,852 ",+20,"558,850",+323,"9,020",,"27,045",689,"5,726,599","265,782","21,546,199 ",Asia,37,"1,451",4,27,0.9,419
552,62,Bolivia,"573,118","+2,242","19,516 ",+20,"516,607","+1,791","36,995",220,"48,126","1,639","2,624,793","220,411","11,908,636 ",South America,21,610,5,188,2,"3,107"
553,63,Costa Rica,"568,860",,"7,343 ",,"560,239",,"1,278",49,"110,181","1,422","2,911,504","563,920","5,162,977 ",North America,9,703,2,,,248
554,64,Saudi Arabia,"552,081",+332,"8,869 ",+1,"540,627",+121,"2,585",36,"15,501",249,"32,678,701","917,529","35,615,992 ",Asia,65,"4,016",1,9,0.03,73
555,65,Ecuador,"540,122",,"33,641 ",,"443,880",,"62,601",759,"29,941","1,865","2,103,013","116,579","18,039,425 ",South America,33,536,9,,,"3,470"
556,66,Myanmar,"529,327",+213,"19,248 ",+6,"506,764",+250,"3,315",,"9,633",350,"5,962,923","108,516","54,949,839 ",Asia,104,"2,855",9,4,0.1,60
557,67,Lithuania,"509,640","+1,724","7,251 ",+23,"477,364","+3,496","25,025",112,"191,162","2,720","6,538,607","2,452,584","2,666,007 ",Europe,5,368,0,647,9,"9,387"
558,68,Panama,"486,377",+865,"7,409 ",+3,"473,110",+236,"5,858",18,"110,158","1,678","4,413,125","999,518","4,415,253 ",North America,9,596,1,196,0.7,"1,327"
559,69,Paraguay,"465,130",+102,"16,598 ",+2,"447,476",+76,"1,056",48,"64,048","2,286","2,013,069","277,198","7,262,197 ",South America,16,438,4,14,0.3,145
560,70,Slovenia,"454,300","+1,205","5,529 ",+1,"432,173","+1,323","16,598",202,"218,481","2,659","2,047,343","984,602","2,079,361 ",Europe,5,376,1,580,0.5,"7,982"
561,71,Venezuela,"442,999",+242,"5,312 ",+2,"431,541",+250,"6,146",681,"15,645",188,"3,359,014","118,624","28,316,594 ",South America,64,"5,331",8,9,0.07,217
562,72,Palestine,"437,910",+336,"4,628 ",+9,"429,348",+324,"3,934",54,"82,989",877,"2,823,415","535,070","5,276,722 ",Asia,12,"1,140",2,64,2,746
563,73,Kuwait,"414,761",+170,"2,467 ",,"411,256",+40,"1,038",6,"95,041",565,"5,819,960","1,333,625","4,364,016 ",Asia,11,"1,769",1,39,,238
564,74,Dominican Republic,"413,191",+506,"4,234 ",+6,"407,015",+323,"1,942",81,"37,532",385,"2,550,939","231,715","11,008,930 ",North America,27,"2,600",4,46,0.5,176
565,75,Uruguay,"406,739",+612,"6,162 ",+3,"396,773",+236,"3,804",21,"116,492","1,765","4,329,145","1,239,890","3,491,557 ",South America,9,567,1,175,0.9,"1,089"
566,76,Ethiopia,"390,737","+4,573","6,888 ",+3,"352,025",+632,"31,824",168,"3,279",58,"4,027,969","33,799","119,172,553 ",Africa,305,"17,301",30,38,0.03,267
567,77,Mongolia,"388,063",+188,"2,053 ",+2,"313,256",,"72,754",192,"115,619",612,"4,030,048","1,200,709","3,356,390 ",Asia,9,"1,635",1,56,0.6,"21,676"
568,78,Libya,"384,663",+658,"5,641 ",+6,"372,884",+548,"6,138",,"54,877",805,"1,999,814","285,298","7,009,553 ",Africa,18,"1,243",4,94,0.9,876
569,79,Egypt,"379,654",+811,"21,546 ",+36,"315,896",+902,"42,212",90,"3,609",205,"3,693,367","35,112","105,188,973 ",Africa,277,"4,882",28,8,0.3,401
570,80,Honduras,"379,073",+79,"10,430 ",+1,"123,783",,"244,860",50,"37,393","1,029","1,135,703","112,028","10,137,656 ",North America,27,972,9,8,0.10,"24,154"
571,81,Moldova,"374,120",+368,"9,589 ",+14,"359,918",+428,"4,613",155,"93,063","2,385","2,326,057","578,610","4,020,076 ",Europe,11,419,2,92,3,"1,147"
572,82,Norway,"370,134","+2,268","1,257 ",,"88,952",,"279,925",119,"67,493",229,"9,213,931","1,680,148","5,483,998 ",Europe,15,"4,363",1,414,,"51,044"
573,83,Armenia,"344,261",+135,"7,939 ",+3,"329,983",+407,"6,339",,"115,856","2,672","2,522,916","849,054","2,971,445 ",Asia,9,374,1,45,1,"2,133"
574,84,Oman,"305,027",+43,"4,113 ",,"300,235",,679,2,"57,568",776,"25,000,000","4,718,251","5,298,573 ",Asia,17,"1,288",0,8,,128
575,85,Bosnia and Herzegovina,"287,276",+484,"13,269 ",+26,"192,218",,"81,789",,"88,377","4,082","1,461,608","449,644","3,250,587 ",Europe,11,245,2,149,8,"25,161"
576,86,Australia,"282,589","+9,047","2,182 ",+9,"229,264","+1,859","51,143",132,"10,895",84,"53,136,147","2,048,602","25,937,765 ",Australia/Oceania,92,"11,887",0,349,0.3,"1,972"
577,87,Bahrain,"279,277",+221,"1,394 ",,"276,762",+40,"1,121",1,"156,116",779,"7,878,340","4,404,001","1,788,905 ",Asia,6,"1,283",0,124,,627
578,88,Kenya,"277,609","+2,964","5,357  ",+1,"249,694",+77,"22,558",16,"5,000",96,"2,975,795","53,596","55,522,443 ",Africa,200,"10,364",19,53,0.02,406
579,89,Singapore,"277,307",+265,820 ,,"273,481",+806,"3,006",19,"46,855",139,"21,098,774","3,564,911","5,918,458 ",Asia,21,"7,218",0,45,,508
580,90,Latvia,"271,106",+948,"4,494 ",+5,"256,298","+1,408","10,314",82,"146,125","2,422","5,561,530","2,997,643","1,855,301 ",Europe,7,413,0,511,3,"5,559"
581,91,Qatar,"247,517",+248,614 ,,"244,462",+146,"2,441",13,"88,153",219,"3,132,114","1,115,503","2,807,805 ",Asia,11,"4,573",1,88,,869
582,92,Estonia,"235,668",+711,"1,907 ",+8,"220,356","+1,143","13,405",17,"177,480","1,436","2,478,145","1,866,275","1,327,856 ",Europe,6,696,1,535,6,"10,095"
583,93,Nigeria,"234,709","+1,356","2,993 ",+2,"212,237",+197,"19,479",11,"1,098",14,"3,751,696","17,557","213,691,180 ",Africa,910,"71,397",57,6,0.01,91
584,94,Finland,"230,392","+3,223","1,507 ",+3,"46,000",,"182,885",59,"41,486",271,"8,501,077","1,530,769","5,553,467 ",Europe,24,"3,685",1,580,0.5,"32,932"
585,95,Zambia,"228,932","+3,672","3,691 ",+3,"208,932",+677,"16,309",261,"11,958",193,"2,878,219","150,340","19,144,679 ",Africa,84,"5,187",7,192,0.2,852
586,96,North Macedonia,"222,666",+333,"7,879 ",+11,"209,602",+311,"5,185",,"106,884","3,782","1,565,599","751,519","2,083,247 ",Europe,9,264,1,160,5,"2,489"
587,97,Algeria,"216,098",+375,"6,222 ",+9,"148,599",+193,"61,277",26,"4,800",138,"230,861","5,128","45,022,233 ",Africa,208,"7,236",195,8,0.2,"1,361"
588,98,Botswana,"208,994",,"2,427 ",,"195,479",,"11,088",1,"86,296","1,002","1,997,064","824,606","2,421,841 ",Africa,12,998,1,,,"4,578"
589,99,Albania,"207,221",+286,"3,187 ",+6,"198,833",+349,"5,201",23,"72,123","1,109","1,456,072","506,787","2,873,143 ",Europe,14,902,2,100,2,"1,810"
590,100,Zimbabwe,"202,736","+1,392","4,871 ",+16,"155,649","+4,340","42,216",12,"13,353",321,"1,805,879","118,940","15,183,053 ",Africa,75,"3,117",8,92,1,"2,780"
591,101,Uzbekistan,"197,918",+165,"1,475 ",+4,"194,788",+153,"1,655",23,"5,789",43,"1,377,915","40,305","34,186,899 ",Asia,173,"23,178",25,5,0.1,48
592,102,Kyrgyzstan,"184,395",+39,"2,790 ",+2,"179,497",+55,"2,108",131,"27,590",417,"1,899,460","284,204","6,683,427 ",Asia,36,"2,395",4,6,0.3,315
593,103,Mozambique,"170,077","+2,770","1,965 ",+4,"151,290",+49,"16,822",13,"5,225",60,"1,054,291","32,391","32,549,274 ",Africa,191,"16,565",31,85,0.1,517
594,104,Montenegro,"162,364",+420,"2,386 ",+1,"157,640",+204,"2,338",60,"258,466","3,798","949,578","1,511,624","628,184 ",Europe,4,263,1,669,2,"3,722"
595,105,Afghanistan,"157,891",+8,"7,348 ",,"145,375",+1,"5,168","1,124","3,925",183,"815,643","20,277","40,224,465 ",Asia,255,"5,474",49,0.2,,128
596,106,Cyprus,"149,580",+917,627 ,+2,"124,370",,"24,583",60,"122,569",514,"9,477,138","7,765,784","1,220,371 ",Asia,8,"1,946",0,751,2,"20,144"
597,107,Namibia,"143,576","+1,306","3,601 ",+4,"128,186",+157,"11,789",24,"55,032","1,380","855,203","327,794","2,608,965 ",Africa,18,725,3,501,2,"4,519"
598,108,Ghana,"134,555",,"1,269 ",,"129,921",,"3,365",5,"4,201",40,"2,073,433","64,730","32,032,012 ",Africa,238,"25,242",15,,,105
599,109,Uganda,"131,981","+1,093","3,274 ",,"98,175",+48,"30,532",85,"2,757",68,"2,092,620","43,710","47,874,597 ",Africa,363,"14,623",23,23,,638
600,110,El Salvador,"121,741",+37,"3,817 ",+2,"107,088",+386,"10,836",91,"18,630",584,"1,505,621","230,405","6,534,665 ",North America,54,"1,712",4,6,0.3,"1,658"
601,111,Cambodia,"120,440",+6,"3,007 ",+1,"116,845",+11,588,,"7,059",176,"2,758,095","161,658","17,061,340 ",Asia,142,"5,674",6,0.4,0.06,34
602,112,Cameroon,"108,451",,"1,851 ",,"105,735",,865,13,"3,940",67,"1,751,774","63,649","27,522,522 ",Africa,254,"14,869",16,,,31
603,113,Laos,"104,373","+1,037",305 ,+6,"7,339",,"96,729",,"14,044",41,"901,338","121,282","7,431,769 ",Asia,71,"24,366",8,140,0.8,"13,016"
604,114,Rwanda,"103,799",+629,"1,345 ",,"45,522",,"56,932",,"7,731",100,"3,872,466","288,414","13,426,771 ",Africa,129,"9,983",3,47,,"4,240"
605,115,Luxembourg,"98,983",+543,907 ,,"92,159",+485,"5,917",18,"154,409","1,415","3,795,724","5,921,160","641,044 ",Europe,6,707,0,847,,"9,230"
606,116,Maldives,"94,564",+120,261 ,,"92,351",+106,"1,952",23,"170,500",471,"1,851,482","3,338,253","554,626 ",Asia,6,"2,125",0,216,,"3,519"
607,117,Jamaica,"92,355",+76,"2,462 ",+1,"64,732",+150,"25,161",,"30,988",826,"697,037","233,881","2,980,306 ",North America,32,"1,211",4,26,0.3,"8,442"
608,118,Trinidad and Tobago,"88,944",+964,"2,718 ",+37,"69,683",+409,"16,543",22,"63,251","1,933","499,573","355,265","1,406,199 ",North America,16,517,3,686,26,"11,764"
609,119,Senegal,"74,302",+46,"1,890 ",,"72,274",+13,138,,"4,271",109,"909,482","52,281","17,395,989 ",Africa,234,"9,204",19,3,,8
610,120,Réunion,"71,795",,401 ,,"65,494",,"5,900",34,"79,351",443,"1,347,378","1,489,191","904,772 ",Africa,13,"2,256",1,,,"6,521"
611,121,Angola,"70,221","+1,859","1,746 ",+3,"63,963",+39,"4,512",3,"2,043",51,"1,242,844","36,154","34,376,372 ",Africa,490,"19,689",28,54,0.09,131
612,122,DRC,"70,059",,"1,126 ",,"50,930",,"18,003",,749,12,"306,299","3,273","93,583,518 ",Africa,"1,336","83,111",306,,,192
613,123,Malawi,"69,735","+1,265","2,322 ",+3,"59,557",+27,"7,856",67,"3,511",117,"474,004","23,867","19,860,502 ",Africa,285,"8,553",42,64,0.2,396
614,124,Eswatini,"63,953",+513,"1,272 ",+3,"53,086",+833,"9,595",11,"54,292","1,080","422,776","358,910","1,177,944 ",Africa,18,926,3,436,3,"8,146"
615,125,Ivory Coast,"63,392",+432,707 ,,"61,204",+21,"1,481",,"2,318",26,"1,206,126","44,110","27,343,734 ",Africa,431,"38,676",23,16,,54
616,126,Guadeloupe,"56,035",,750 ,,"2,250",,"53,035",23,"140,009","1,874","607,573","1,518,079","400,225 ",North America,7,534,1,,,"132,513"
617,127,Fiji,"52,815",+69,697 ,,"51,221",,897,,"58,291",769,"469,654","518,346","906,062 ",Australia/Oceania,17,"1,300",2,76,,990
618,128,Suriname,"51,542",+24,"1,186 ",,"49,082",+205,"1,274",3,"86,711","1,995","166,934","280,838","594,413 ",South America,12,501,4,40,,"2,143"
619,129,Syria,"50,007",+46,"2,867 ",+4,"31,671",+100,"15,469",,"2,758",158,"113,162","6,242","18,129,053 ",Asia,363,"6,323",160,3,0.2,853
620,130,Martinique,"47,300",,769 ,,104,,"46,427",1,"126,189","2,052","466,711","1,245,114","374,834 ",North America,8,487,1,,,"123,860"
621,131,Madagascar,"47,295",,996 ,,"43,961",,"2,338",22,"1,645",35,"307,183","10,687","28,743,100 ",Africa,608,"28,859",94,,,81
622,132,French Guiana,"47,229",+100,337 ,,"11,254",,"35,638",5,"152,291","1,087","481,773","1,553,490","310,123 ",South America,7,920,1,322,,"114,916"
623,133,French Polynesia,"46,376",,636 ,,N/A,N/A,N/A,7,"163,692","2,245",,,"283,312 ",Australia/Oceania,6,445,,,,"43,203"
624,134,Sudan,"46,100",,"3,298 ",,"38,292",,"4,510",,"1,016",73,"238,579","5,259","45,362,719 ",Africa,984,"13,755",190,,,99
625,135,Malta,"44,761",+955,473 ,,"39,407",+118,"4,881",5,"100,976","1,067","1,211,456","2,732,912","443,284 ",Europe,10,937,0,"2,154",,"11,011"
626,136,Mauritania,"40,389",+81,861 ,+1,"38,929",+35,599,13,"8,362",178,"548,889","113,635","4,830,271 ",Africa,120,"5,610",9,17,0.2,124
627,137,Guyana,"39,042",+44,"1,042 ",,"37,269",+24,731,7,"49,285","1,315","417,327","526,814","792,172 ",South America,20,760,2,56,,923
628,138,Cabo Verde,"38,865",+114,351 ,,"38,145",+10,369,23,"68,797",621,"211,692","374,726","564,925 ",Africa,15,"1,609",3,202,,653
629,139,Gabon,"38,039",,286 ,,"36,221",,"1,532",5,"16,515",124,"1,469,004","637,763","2,303,368 ",Africa,61,"8,054",2,,,665
630,140,Papua New Guinea,"36,110",+17,589 ,,"35,374",+73,147,7,"3,926",64,"249,149","27,088","9,197,677 ",Australia/Oceania,255,"15,616",37,2,,16
631,141,Belize,"31,503",+59,592 ,,"30,415",+44,496,4,"77,156","1,450","375,152","918,806","408,304 ",North America,13,690,1,145,,"1,215"
632,142,Guinea,"30,976",+38,389 ,,"29,802",,785,49,"2,268",28,"570,956","41,800","13,659,176 ",Africa,441,"35,114",24,3,,57
633,143,Togo,"27,684",+279,246 ,,"26,034",,"1,404",,"3,232",29,"605,053","70,638","8,565,548 ",Africa,309,"34,819",14,33,,164
634,144,Lesotho,"27,595","+1,591",665 ,,"14,803",+614,"12,127",,"12,732",307,"312,347","144,112","2,167,390 ",Africa,79,"3,259",7,734,,"5,595"
635,145,Barbados,"27,582",+96,260 ,+1,"26,351",+203,971,,"95,805",903,"463,844","1,611,151","287,896 ",North America,10,"1,107",1,333,3,"3,373"
636,146,Tanzania,"26,483",,734 ,,N/A,N/A,N/A,7,425,12,,,"62,248,035 ",Africa,"2,350","84,807",,,,411
637,147,Haiti,"25,950",+5,765 ,,"23,064",+107,"2,121",,"2,235",66,"132,422","11,408","11,608,241 ",North America,447,"15,174",88,0.4,,183
638,148,Benin,"24,935",,161 ,,"24,705",,69,5,"1,980",13,"604,310","47,990","12,592,466 ",Africa,505,"78,214",21,,,5
639,149,Seychelles,"24,197",,131 ,,"23,742",,324,,"243,803","1,320",,,"99,248 ",Africa,4,758,,,,"3,265"
640,150,Burundi,"23,657",+648,38 ,,773,,"22,846",,"1,906",3,"345,742","27,851","12,413,947 ",Africa,525,"326,683",36,52,,"1,840"
641,151,Channel Islands,"23,627",+439,112 ,,"20,939",+192,"2,576",,"134,065",636,"1,123,134","6,372,934","176,235 ",Europe,7,"1,574",0,"2,491",,"14,617"
642,152,Bahamas,"23,539",+159,713 ,,"21,745",+9,"1,081",2,"59,024","1,788","180,017","451,390","398,806 ",North America,17,559,2,399,,"2,711"
643,153,Somalia,"23,532",,"1,333 ",,"12,948",,"9,251",,"1,422",81,"262,138","15,841","16,548,383 ",Africa,703,"12,414",63,,,559
644,154,Mauritius,"23,105",+28,762 ,,"21,636",+15,707,,"18,123",598,"358,675","281,337","1,274,894 ",Africa,55,"1,673",4,22,,555
645,155,Iceland,"22,087",,37 ,,"19,428",,"2,622",3,"64,109",107,"1,331,380","3,864,427","344,522 ",Europe,16,"9,311",0,,,"7,611"
646,156,Andorra,"21,730",+159,139 ,,"19,870",+145,"1,721",31,"280,575","1,795","235,283","3,037,948","77,448 ",Europe,4,557,0,"2,053",,"22,221"
